"estado_id","estado_nome","id","nome","abreviacao","slug"
"RJ","Rio de Janeiro",262,"Flamengo","FLA","flamengo"
"RJ","Rio de Janeiro"263,"Botafogo","BOT","botafogo"
"SP","São Paulo",264,"Corinthians","COR","corinthians"
"BA","Bahia",265,"Bahia","BAH","bahia"
"RJ","Rio de Janeiro"266,"Fluminense","FLU","fluminense"
"RJ","Rio de Janeiro"267,"Vasco","VAS","vasco"
"SP","São Paulo",275,"Palmeiras","PAL","palmeiras"
"SP","São Paulo",276,"São Paulo","SAO","sao-paulo"
"SP","São Paulo",277,"Santos","SAN","santos"
"MG","Minas Gerais",282,"Atlético-MG","ATL","atletico-mg"
"MG","Minas Gerais",283,"Cruzeiro","CRU","cruzeiro"
"RS","Rio Grande do Sul",284,"Grêmio","GRE","gremio"
"BA","Bahia",287,"Vitória","VIT","vitoria"
"PE","Pernambuco",292,"Sport","SPO","sport"
"PR","Paraná",293,"Atlético-PR","ATL","atletico-pr"
"PR","Paraná",294,"Coritiba","COR","coritiba"
"SP","São Paulo",303,"Ponte Preta","PON","ponte-preta"
"SC","Santa Catarina",314,"Avaí","AVA","avai"
"SC","Santa Catarina",315,"Chapecoense","CHA","chapecoense"
"GO","Goiás",373,"Atlético-GO","ATL","atletico-go"