rodada_id,clube_id,posicao
1,275,2
1,284,5
1,264,9
1,277,14
2,284,1
2,264,4
2,275,8
2,277,12
3,264,2
3,284,4
3,275,14
3,277,15
4,264,2
4,284,3
4,275,13
4,277,17
5,264,1
5,284,2
5,277,14
5,275,16
6,264,1
6,284,2
6,277,10
6,275,13
7,264,1
7,284,2
7,277,5
7,275,15
8,264,1
8,284,2
8,277,4
8,275,13
9,264,1
9,284,2
9,277,3
9,275,9
10,264,1
10,284,2
10,275,4
10,277,5
11,264,1
11,284,2
11,275,4
11,277,5
12,264,1
12,284,3
12,277,4
12,275,5
13,264,1
13,284,2
13,277,4
13,275,7
14,264,1
14,284,2
14,277,4
14,275,5
15,264,1
15,284,2
15,277,3
15,275,6
16,264,1
16,284,2
16,277,3
16,275,5
17,264,1
17,284,2
17,277,3
17,275,4
18,264,1
18,284,2
18,277,3
18,275,4
19,264,1
19,284,2
19,277,3
19,275,4
20,264,1
20,284,2
20,277,3
20,275,4